               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  83,             0.02965,            0.028594,           0.0068427,             0.74095,             0.63249,             0.68745,             0.42588,            0.039315,             0.02803,            0.014027,            0.004588,            0.004588,            0.004588
                  84,            0.029648,            0.028941,           0.0063486,             0.73872,             0.62604,              0.6855,             0.43505,            0.039366,            0.027648,            0.014824,            0.004522,            0.004522,            0.004522
                  85,            0.029454,             0.02836,           0.0062644,             0.75429,             0.61592,             0.68295,              0.4328,            0.039499,            0.027875,            0.015002,            0.004456,            0.004456,            0.004456
                  86,            0.029618,             0.02836,            0.006104,             0.74977,             0.62645,             0.68316,             0.43463,            0.039085,            0.027892,            0.014889,             0.00439,             0.00439,             0.00439
                  87,            0.029548,            0.028071,           0.0067657,             0.75348,             0.62404,             0.68449,             0.43415,            0.039626,            0.028242,            0.015063,            0.004324,            0.004324,            0.004324
                  88,            0.029298,            0.028163,           0.0060854,             0.76297,             0.62369,             0.68763,             0.43807,            0.039255,             0.02809,            0.014814,            0.004258,            0.004258,            0.004258
                  89,            0.029289,            0.028187,           0.0060961,             0.78287,             0.63357,             0.69986,             0.44569,            0.038989,            0.028451,            0.014148,            0.004192,            0.004192,            0.004192
                  90,            0.028879,            0.027914,           0.0059916,             0.77261,             0.63242,             0.69556,             0.44457,            0.039286,            0.028486,            0.013919,            0.004126,            0.004126,            0.004126
                  91,               0.029,            0.027958,           0.0058727,             0.75381,             0.65115,             0.69925,             0.44835,            0.039677,            0.028349,            0.014292,             0.00406,             0.00406,             0.00406
                  92,            0.028796,            0.028055,           0.0061389,             0.77236,             0.63833,             0.70242,             0.44561,            0.039205,            0.028446,            0.013609,            0.003994,            0.003994,            0.003994
                  93,            0.028724,            0.027928,           0.0060187,             0.74249,             0.65037,             0.68909,             0.44221,            0.039075,            0.028329,             0.01446,            0.003928,            0.003928,            0.003928
                  94,            0.028732,            0.027607,           0.0062414,             0.75919,             0.63277,             0.68873,             0.44271,            0.039099,            0.028586,            0.014033,            0.003862,            0.003862,            0.003862
                  95,            0.028686,            0.027961,           0.0057762,             0.79018,             0.61347,             0.68874,             0.44307,            0.039267,            0.028585,            0.014357,            0.003796,            0.003796,            0.003796
                  96,            0.028514,            0.028019,           0.0057614,             0.76305,             0.63072,              0.6914,             0.43886,            0.039166,            0.028664,              0.0141,             0.00373,             0.00373,             0.00373
