               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  61,            0.036193,            0.029349,           0.0089868,             0.60656,             0.55821,             0.56253,             0.29028,            0.047573,            0.024434,            0.020028,             0.00604,             0.00604,             0.00604
                  62,            0.036465,            0.028719,           0.0099932,             0.61009,                0.56,             0.57745,             0.29713,             0.04809,            0.024541,            0.018776,            0.005974,            0.005974,            0.005974
                  63,            0.036105,             0.02795,           0.0095937,             0.61693,             0.56768,             0.58446,             0.30341,            0.048784,            0.024531,            0.019703,            0.005908,            0.005908,            0.005908
                  64,            0.036146,            0.028577,           0.0084104,             0.56891,             0.58936,             0.57175,             0.29238,            0.049178,            0.024901,            0.018858,            0.005842,            0.005842,            0.005842
                  65,            0.035859,            0.028099,           0.0085878,              0.6361,             0.54647,             0.57227,             0.29719,            0.047994,            0.024743,            0.019602,            0.005776,            0.005776,            0.005776
                  66,             0.03527,            0.027587,           0.0082434,              0.6269,             0.56062,             0.57813,             0.29799,            0.048209,            0.025432,            0.018974,             0.00571,             0.00571,             0.00571
                  67,            0.035719,            0.028044,           0.0086654,             0.64744,             0.58333,             0.59572,             0.31226,            0.048064,            0.024956,            0.020601,            0.005644,            0.005644,            0.005644
                  68,            0.035174,            0.027232,            0.008151,             0.63098,              0.5666,             0.58858,              0.3055,            0.048566,            0.024465,            0.020603,            0.005578,            0.005578,            0.005578
                  69,            0.035423,            0.027715,           0.0083871,             0.61918,             0.61684,             0.59786,             0.31356,            0.048528,             0.02451,            0.018606,            0.005512,            0.005512,            0.005512
                  70,            0.034742,            0.027739,           0.0083258,             0.65099,             0.56172,             0.58305,             0.29827,            0.048593,            0.025037,             0.02065,            0.005446,            0.005446,            0.005446
                  71,            0.034814,            0.027377,           0.0082013,             0.62309,             0.58491,             0.58211,              0.3016,            0.048302,            0.025494,            0.020867,             0.00538,             0.00538,             0.00538
                  72,            0.034996,            0.027223,           0.0080114,             0.62457,             0.55667,              0.5692,             0.29132,            0.048675,            0.025695,            0.019717,            0.005314,            0.005314,            0.005314
                  73,            0.034827,            0.027265,           0.0078564,             0.66949,             0.56614,             0.59117,             0.30488,            0.047981,            0.025181,            0.019776,            0.005248,            0.005248,            0.005248
                  74,            0.034578,             0.02693,            0.007403,             0.64048,             0.55076,              0.5844,             0.30184,            0.047714,            0.025035,            0.019182,            0.005182,            0.005182,            0.005182
                  75,            0.034002,            0.027035,           0.0077447,             0.62525,             0.57728,             0.57951,             0.29189,            0.048591,            0.025323,             0.02075,            0.005116,            0.005116,            0.005116
                  76,            0.033447,            0.026892,           0.0071326,             0.62114,             0.57815,             0.58389,             0.30391,            0.048261,            0.025599,            0.018862,             0.00505,             0.00505,             0.00505
                  77,            0.033512,            0.026564,           0.0078577,             0.62144,             0.58717,             0.59199,             0.30325,            0.047977,            0.025479,            0.018752,            0.004984,            0.004984,            0.004984
                  78,            0.033944,            0.026629,           0.0073207,             0.60131,             0.59651,              0.5883,             0.30164,            0.047945,            0.025306,            0.018442,            0.004918,            0.004918,            0.004918
                  79,            0.033023,            0.026846,           0.0070943,             0.68763,             0.54247,             0.58588,             0.30706,            0.047629,            0.025596,             0.01852,            0.004852,            0.004852,            0.004852
                  80,            0.033282,            0.026972,           0.0068969,             0.64154,             0.56786,             0.57593,             0.30266,            0.048471,            0.025821,            0.019712,            0.004786,            0.004786,            0.004786
                  81,             0.03304,            0.026797,           0.0070574,             0.64377,             0.60032,             0.59583,             0.30365,            0.047961,            0.025709,            0.019801,             0.00472,             0.00472,             0.00472
                  82,            0.033065,            0.027159,           0.0071014,             0.65798,             0.55911,             0.57362,             0.29861,            0.047952,            0.025947,            0.019107,            0.004654,            0.004654,            0.004654
                  83,            0.032711,            0.026387,           0.0070236,             0.66892,             0.56767,             0.59433,              0.3087,            0.047028,            0.025895,            0.018565,            0.004588,            0.004588,            0.004588
                  84,            0.033607,            0.026738,           0.0068115,             0.64233,             0.58957,             0.58913,             0.30436,            0.047755,            0.025705,            0.018608,            0.004522,            0.004522,            0.004522
                  85,             0.03254,            0.026985,           0.0069732,             0.62969,             0.54849,             0.57264,             0.29979,            0.047836,            0.026005,            0.019524,            0.004456,            0.004456,            0.004456
                  86,            0.032248,            0.026273,           0.0066068,             0.67348,             0.57322,             0.59846,             0.31271,            0.047524,            0.025533,             0.02007,             0.00439,             0.00439,             0.00439
                  87,            0.032598,            0.026458,            0.006956,             0.66816,             0.58102,             0.60197,             0.31731,            0.047659,            0.025723,            0.019459,            0.004324,            0.004324,            0.004324
                  88,            0.031729,            0.026224,           0.0064635,             0.65107,             0.56603,             0.58995,             0.31509,             0.04831,             0.02598,            0.019444,            0.004258,            0.004258,            0.004258
                  89,            0.032189,            0.026255,           0.0071358,             0.66395,             0.54013,              0.5801,             0.30466,            0.048156,            0.025853,            0.020342,            0.004192,            0.004192,            0.004192
                  90,            0.031824,            0.025954,           0.0067106,             0.70112,             0.52338,             0.58731,              0.3132,            0.048173,            0.026247,            0.020552,            0.004126,            0.004126,            0.004126
                  91,            0.031823,            0.026603,           0.0065752,             0.69043,             0.56778,              0.5969,             0.31321,            0.048375,            0.026484,            0.019979,             0.00406,             0.00406,             0.00406
                  92,             0.03133,            0.025615,           0.0064144,             0.68399,             0.53596,             0.59371,             0.31529,            0.048131,            0.025802,            0.018309,            0.003994,            0.003994,            0.003994
                  93,             0.03158,            0.025482,           0.0062107,             0.63149,             0.58943,             0.58756,             0.30716,            0.047726,            0.025679,            0.019668,            0.003928,            0.003928,            0.003928
                  94,            0.031546,            0.025854,            0.006563,             0.65767,             0.57962,             0.58431,             0.31261,            0.047933,            0.026078,            0.018008,            0.003862,            0.003862,            0.003862
                  95,            0.031777,            0.026001,           0.0063753,             0.64831,             0.57946,             0.57993,             0.31133,            0.047977,            0.026685,            0.020168,            0.003796,            0.003796,            0.003796
                  96,            0.031155,            0.025079,           0.0063966,             0.66756,             0.59169,             0.59239,             0.31745,            0.048198,            0.026031,             0.02057,             0.00373,             0.00373,             0.00373
                  97,            0.031269,             0.02552,           0.0066355,             0.63934,             0.60316,             0.57548,             0.29926,            0.048372,            0.026075,            0.019909,            0.003664,            0.003664,            0.003664
                  98,            0.031119,            0.024982,            0.006203,             0.66288,             0.59332,             0.59081,             0.30764,            0.048808,            0.026106,              0.0187,            0.003598,            0.003598,            0.003598
                  99,            0.030806,            0.024957,           0.0062569,             0.66994,             0.58198,             0.59237,             0.31094,            0.048514,            0.026591,            0.019139,            0.003532,            0.003532,            0.003532
